"Input Name","Matched Name","VM Number","Similarity Score"
"cronyxin-ml injected","apralan soluble powder for use in drinking water/milk for pigs, calves, chickens and rabbits","00006/4084",1,
"cyclix - ml-2ml injected","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"naxcel for cattle","clinidip l concentrate 2.0% w/v concentrate for teat dip or teat spray solution","01808/4010",1,
"bovilis bvd 10 dose","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"3x ienzaprost-t 5ml dose (1) [discount 15%]","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"icalc 40cm no5 red 1x400ml (1)","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"cyclix - ml","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"orbenin dry cow (pk 120)","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"8x uorbeseal dc syringe 1's","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"selekt fresh cow","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"pharmasin 100% 110g","bob martin clear 3 in 1 wormer 150/144/50 mg tablets for dogs","00010/4074",1,
"combivit injection 100ml","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"flunixin inj 100ml-ml injected","bob martin clear 3 in 1 wormer 150/144/50 mg tablets for dogs","00010/4074",1,
"advocin injection 100ml","bob martin clear 3 in 1 wormer 150/144/50 mg tablets for dogs","00010/4074",1,
"oxytocin-s-ml injected","apralan soluble powder for use in drinking water/milk for pigs, calves, chickens and rabbits","00006/4084",1,
"rapidexon-ml dispensed","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"imagniject no9 (mag sulph) 12's (1) [discount 15%]","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"cyclospray 211ml","clinidip l concentrate 2.0% w/v concentrate for teat dip or teat spray solution","01808/4010",1,
"synulox boluses 500mg","synulox bolus 500 mg film-coated tablets","42058/4142",1,
"ultrapen l.a","clinidip l concentrate 2.0% w/v concentrate for teat dip or teat spray solution","01808/4010",1,
"lignocaine & adrenaline-ml injected","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"bovilis bvd 25 dose","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"zactran 50ml","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"ucefimam dc dry cow tubes 4's","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"rotavec corona 10ml(2ml dose) (1)","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"metacam la 20mg/ml 100ml-ml dispensed","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"opticlox eye ointment","opticlox eye ointment 16.7% w/w","02000/4075",1,
"ketosaid 1lt","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"cobactan lc 30's (30) [discount 15%]","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"yopticlox eye oint 4x5gm (1) [discount 15%]","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"orbeseal dc (pk120)","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"anivit b12 1000mcg ml","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"syringe 2ml","euthatal solution for injection 200 mg in 1 ml","08327/4112",1,
"veterelin 10ml-5ml injected","bob martin clear 3 in 1 wormer 150/144/50 mg tablets for dogs","00010/4074",1,
"5x iloxicom inj 20mg/ml 1ml [discount 15%]","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"selekt glycerol plus","clinidip l concentrate 2.0% w/v concentrate for teat dip or teat spray solution","01808/4010",1,
"penstrep inj 100ml","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"planipart multidose inj","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"terramycin aerosol","terramycin aerosol spray 3.92% w/w cutaneous spray","42058/4150",1,
"bovilis bvd 5 dose","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"examine calf","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"rapidexon-ml injected","euthatal solution for injection 200 mg in 1 ml","08327/4112",1,
"imicotil 300 inj 1ml (1)","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"dexafort -ml injected","euthatal solution for injection 200 mg in 1 ml","08327/4112",1,
"ketosolve ltr","clinidip l concentrate 2.0% w/v concentrate for teat dip or teat spray solution","01808/4010",1,
"ultrapen l.a-ml injected","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"metacam la 20mg/ml 100ml","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"cyclo aero spray 211ml each","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"selekt off feed","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"naxcel cattle btl","clinidip l concentrate 2.0% w/v concentrate for teat dip or teat spray solution","01808/4010",1,
"xnormint excel 600ml (1)","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"lignocaine & adrenaline","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"acegon-1ml injected","bob martin clear 3 in 1 wormer 150/144/50 mg tablets for dogs","00010/4074",1,
"pen & strep bottle","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"cevaxel rtu 100ml btl","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"combivit injection 100ml-ml injected","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"advocin injection 100ml-ml injected","bob martin clear 3 in 1 wormer 150/144/50 mg tablets for dogs","00010/4074",1,
"draxxin 20ml","euthatal solution for injection 200 mg in 1 ml","08327/4112",1,
"adrenacaine inj btl","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"ubro red 20 bag","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"bovilis ibr","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"depocillin","apralan soluble powder for use in drinking water/milk for pigs, calves, chickens and rabbits","00006/4084",1,
"loxicom","clinidip l concentrate 2.0% w/v concentrate for teat dip or teat spray solution","01808/4010",1,
"veterelin 10ml-ml injected","bob martin clear 3 in 1 wormer 150/144/50 mg tablets for dogs","00010/4074",1,
"pen & strep ml","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"rispoval ibr live (10d)","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"forcyl inj 160mg/ml ml(s)","euthatal solution for injection 200 mg in 1 ml","08327/4112",1,
"metacam la 20mg/ml 100ml-ml injected","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"selekt restore","clinidip l concentrate 2.0% w/v concentrate for teat dip or teat spray solution","01808/4010",1,
"terramycin aerosol-box of 12","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"prellim inj 20ml-2ml injected","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"naxcel cattle ml","clinidip l concentrate 2.0% w/v concentrate for teat dip or teat spray solution","01808/4010",1,
"penstrep inj 100ml-ml injected","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"lincospectin 100 150gm tub","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"draxxin","apralan soluble powder for use in drinking water/milk for pigs, calves, chickens and rabbits","00006/4084",1,
"alamycin la 100ml","clinidip l concentrate 2.0% w/v concentrate for teat dip or teat spray solution","01808/4010",1,
"vecoxan oral susp 1 litre","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"calciject no 5","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"acegon-2ml injected","euthatal solution for injection 200 mg in 1 ml","08327/4112",1,
"rotavec corona 40ml (pom -vps) btl","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"norocillin","apralan soluble powder for use in drinking water/milk for pigs, calves, chickens and rabbits","00006/4084",1,
"draxxin injection bottle","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"vetivex 1 2lt","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"cronyxin-ml dispensed","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"foston bottle","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"estrumate","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"cobactan mc","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"tylan 200 injection","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"adrenacaine injection ml(s)","euthatal solution for injection 200 mg in 1 ml","08327/4112",1,
"pharmasin 100%","bob martin clear 3 in 1 wormer 150/144/50 mg tablets for dogs","00010/4074",1,
"veterelin 10ml","clinidip l concentrate 2.0% w/v concentrate for teat dip or teat spray solution","01808/4010",1,
"synulox rtu btl","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"rispoval ibr live (50d)","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"vomend (maxolon) inj 20ml bottle","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"lignocaine & adrenaline-5ml injected","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"metacam la 20mg/ml 50ml","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"orbenin extra dc","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"metacam inj 20mg/ml btl","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"chloromed 150mg/g oral powder calf 1kg bag","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"depociilin","apralan soluble powder for use in drinking water/milk for pigs, calves, chickens and rabbits","00006/4084",1,
"euthanase cow","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"vitesel injection","vitesel emulsion for injection","02000/4115",1,
"prellim injection (estrumate","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"visit","grisol v powder 7.5% w/w oral powder","08007/4032",1,
"alamycin","apralan soluble powder for use in drinking water/milk for pigs, calves, chickens and rabbits","00006/4084",1,
"oxytobel (oxytocin) bottle","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"engemycin farmpack bottle","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"prellim inj 20ml-bottle 20ml","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"metricure","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"ovarelin 10ml (5) [discount 15%]","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"hymatil 300mg/ml ml(s)","clinidip l concentrate 2.0% w/v concentrate for teat dip or teat spray solution","01808/4010",1,
"pd/ scan cows","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"tetra delta mc box","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"bovilis bvd","grisol v powder 7.5% w/w oral powder","08007/4032",1,
"rapidexon ml(s)","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"8x ienzaprost-t 5ml dose (1) [discount 15%]","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"cyclo aero spray 211ml","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"engemycin spray 200ml tin","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"metacam injection 20mg/ml ml(s)","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"ubro red 120's pail","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"8x ucefimam dc dry cow tubes (1)","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,

