"Input Name","Matched Name","VM Number","Similarity Score"
"advocin injection 100ml","estroplan injection, (250 ug/ml)","18731/4000",0.5,
"5x iloxicom inj 20mg/ml 1ml [discount 15%]","loxicom 1.5 mg/ml oral suspension for dogs","eu/2/08/090/003-005,032-033",0.333333333333333,
"cyclix - ml-2ml injected","cycloprost 5 mg/ml solution for injection","41687/4005",0.390243902439024,
"imicotil 300 inj 1ml (1)","micotil 300 mg/ml solution for injection","00006/4093",0.35,
"combivit injection 100ml-ml injected","combivit solution for injection","02000/4118",0.555555555555556,
"combiclav inj 100ml","nobilis ib h120","01708/4284",0.421052631578947,
"flunixin inj 100ml-ml injected","vivitonin 100 mg tablets","01708/4446",0.366666666666667,
"acegon-2ml injected","lactovac suspension for injection","42058/4075",0.363636363636364,
"mmetricure syringes 12's (1)","prednicare tablets 1 mg","10347/4018",0.357142857142857,
"metacam la 20mg/ml 50ml","sedalin 35 mg/ml oral gel","08007/4089",0.36,
"selekt off feed","letifend","eu/2/16/195/001-008",0.4,
"cefimam lc tubes(pk 24)","easimax plus tablets for dogs","08749/4025",0.379310344827586,
"vetivex 1 2lt","heptavac p plus","01708/4468",0.4,
"tylan 200 100ml (100) [discount 15%]","tylan 200, 200 mg/ml solution for injection","00006/4098",0.372093023255814,
"orbenin dry cow (pk 120)","orbenin dry cow 500 mg intramammary suspension","42058/4088",0.369565217391304,
"alamycin la 100ml-box of 12","alamycin la 200 mg/ml solution for injection","02000/4117",0.454545454545455,
"ketosaid 1lt","ketofen 5 mg tablets","15052/4148",0.35,
"cidr","bovidec","43684/4001",0.285714285714286,
"cyclospray 211ml","nobilis paramyxo p201","01708/4489",0.333333333333333,
"metricure","eurican l","08327/4148",0.333333333333333,
"lignocaine & adrenaline-ml injected","lignocaine and adrenaline solution for injection","02000/4135",0.625,
"cronyxin-ml dispensed","cryomarex rispens","08327/4104",0.476190476190476,
"terramycin aerosol-box of 12","terramycin aerosol spray 3.92% w/w cutaneous spray","42058/4150",0.42,
"vecoxan oral susp 1 litre","vecoxan 2.5 mg/ml oral suspension","00006/4145",0.484848484848485,
"prellim inj 20ml-2ml injected","prosolvin 7.5 mg/ml solution for injection","05653/4158",0.380952380952381,
"combivit injection 100ml","estroplan injection, (250 ug/ml)","18731/4000",0.4375,
"adrenacaine inj btl","adrenacaine solution for injection for cattle","02000/4243",0.4,
"foston bottle","norodine bolus tablet","02000/4079",0.380952380952381,
"vitesel injection","vitesel emulsion for injection","02000/4115",0.566666666666667,
"selekt restore","imrestor","eu/2/15/193/001-003",0.428571428571429,
"engemycin farmpack bottle","engemycin 10% farm pack solution for injection","01708/4374",0.478260869565217,
"orbeseal dc (pk120)","evalon (pb-134)","eu/2/16/194/001–003",0.368421052631579,
"bovilis bvd 10 dose","bovilis bovipast rsp","01708/4458",0.55,
"naxcel for cattle","birp oral emulsion for cattle","10434/4041",0.482758620689655,
"veterelin 10ml","eurican l","08327/4148",0.357142857142857,
"dexafort -ml injected","dexafort suspension for injection","01708/4324",0.484848484848485,
"oxytobel (oxytocin) bottle","hexasol la solution for injection for cattle","02000/4152",0.340909090909091,
"zactran 50ml","eurican l","08327/4148",0.333333333333333,
"lignocaine & adrenaline","lignocaine and adrenaline solution for injection","02000/4135",0.458333333333333,
"cronyxin-ml injected","hypnorm solution for injection","41760/4000",0.366666666666667,
"metacam la 20mg/ml 100ml","sedalin 35 mg/ml oral gel","08007/4089",0.36,
"tetra delta mc box","tetra-delta intramammary suspension","42058/4152",0.4,
"tylan 200 injection","xylapan 20 mg solution for injection","08007/4091",0.472222222222222,
"cobactan mc","nobivac kc","06376/4026",0.454545454545455,
"synulox boluses 500mg","synulox palatable tablets 500 mg","42058/4146",0.53125,
"syringe 2ml","eurican l","08327/4148",0.363636363636364,
"prellim inj 20ml-bottle 20ml","stellamune mycoplasma","00006/4118",0.357142857142857,
"hymatil 300mg/ml ml(s)","sedalin 35 mg/ml oral gel","08007/4089",0.44,
"draxxin 20ml","ronaxan 20 mg tablet","08327/4069",0.35,
"pd/ scan cows","otodex skin cream","13240/4000",0.352941176470588,
"oxytocin-s-ml injected","oxytocin-s, 10 iu/ml, solution for injection","01708/4314",0.431818181818182,
"adrenacaine injection ml(s)","adrenacaine solution for injection for cattle","02000/4243",0.488888888888889,
"cyclix - ml","nobilis ib ma5","01708/4283",0.357142857142857,
"engemycin spray 200ml tin","engemycin la 200 mg/ml solution for injection","01708/4338",0.4,
"depociilin","leukocell 2","42058/4177",0.363636363636364,
"ultrapen l.a","virbagen l","05653/4047",0.416666666666667,
"opticlox eye ointment","opticlox eye ointment 16.7% w/w","02000/4075",0.67741935483871,
"ketosolve ltr","tensolvet gel","18182/4001",0.461538461538462,
"depocillin","leukocell 2","42058/4177",0.454545454545455,
"examine calf","duramune dappi","42058/4049",0.428571428571429,
"ubro red 120's pail","norodine bolus tablet","02000/4079",0.333333333333333,
"veterelin 10ml-5ml injected","vitesel emulsion for injection","02000/4115",0.4,
"orbenin extra dc","porcilis ery+parvo","01708/4334",0.333333333333333,
"draxxin","rabisin","08327/4150",0.428571428571429,
"terramycin aerosol","noromectin paste for horses","02000/4208",0.37037037037037,
"lignocaine & adrenaline-5ml injected","lignocaine and adrenaline solution for injection","02000/4135",0.625,
"anivit b12 1000mcg ml","vivitonin 100 mg tablets","01708/4446",0.416666666666667,
"visit","rabisin","08327/4150",0.428571428571429,
"pen & strep bottle","pen & strep suspension for injection","02000/4100",0.388888888888889,
"penstrep inj 100ml","hypermune-re equine plasma","18513/4001",0.346153846153846,
"rapidexon-ml dispensed","combinex oral suspension","00879/4084",0.416666666666667,
"estrumate","equitrim granules","00015/4044",0.352941176470588,
"lincospectin 100 150gm tub","linco-spectin premix for medicated feed","42058/4081",0.41025641025641,
"ubro red 20 bag","torbutrol tablets 10 mg","42058/4155",0.347826086956522,
"metacam la 20mg/ml 100ml-ml dispensed","benzimole 25 mg/ml sc oral suspension","08749/4040",0.432432432432432,
"forcyl inj 160mg/ml ml(s)","forcyl swine 160 mg/ml solution for injection for pigs","08007/4134",0.37037037037037,
"pen & strep ml","pen & strep suspension for injection","02000/4100",0.333333333333333,
"veterelin 10ml-ml injected","vitesel emulsion for injection","02000/4115",0.4,
"euthanase cow","poulvac marek cvi","42058/4107",0.352941176470588,
"ultrapen l.a-ml injected","ultrapen la 30% suspension for injection","02000/4133",0.425,
"loxicom","bovivac s","01708/4415",0.333333333333333,
"cevaxel rtu 100ml btl","cephacare flavour 1000 mg tablets for dogs","10347/4040",0.333333333333333,
"rapidexon-ml injected","rapidexon 2 mg/ml solution for injection","16849/4007",0.45,
"metacam inj 20mg/ml btl","propalin syrup 40 mg/ml dogs","08007/4035",0.357142857142857,
"penstrep inj 100ml-ml injected","pen & strep suspension for injection","02000/4100",0.444444444444444,
"norocillin","rabisin","08327/4150",0.4,
"prellim injection (estrumate","estroplan injection, (250 ug/ml)","18731/4000",0.46875,
"pharmasin 100%","poulvac ib h120","42058/4101",0.333333333333333,
"rispoval ibr live (10d)","rispoval ibr-marker live","42058/4126",0.541666666666667,
"vomend (maxolon) inj 20ml bottle","novem 40 mg/ml solution for injection for cattle","eu/2/04/042/015-018",0.375,
"rapidexon ml(s)","canigen kc","01708/4492",0.333333333333333,
"metacam la 20mg/ml 100ml-ml injected","betamox la 150 mg/ml suspension for injection","02000/4070",0.466666666666667,
"metacam injection 20mg/ml ml(s)","estroplan injection, (250 ug/ml)","18731/4000",0.46875,
"alamycin","cevac chlamydia","15052/4031",0.4,
"chloromed 150mg/g oral powder calf 1kg bag","chloromed 150 mg/g oral powder for pigs","05150/4002",0.738095238095238,
"pharmasin 100% 110g","co trimazine tablets 120 mg","41687/4001",0.37037037037037,
"rispoval ibr live (50d)","rispoval ibr-marker live","42058/4126",0.541666666666667,
"bovilis bvd","bovilis huskvac","01708/4328",0.6,
"bovilis ibr","bovilis ringvac","06376/4048",0.6,
"cyclo aero spray 211ml","tetcin aerosol cutaneous spray solution","08007/4033",0.333333333333333,
"naxcel cattle btl","drontal cat film-coated tablets","00010/4094",0.32258064516129,
"selekt fresh cow","seleen shampoo 1% w/v","15052/4010",0.333333333333333,
"planipart multidose inj","nobilis rt + ibmulti + g + nd","06376/4030",0.379310344827586,
"calciject no 5","lapinject vhd","15052/4032",0.428571428571429,
"rotavec corona 40ml (pom -vps) btl","rotavec corona emulsion for injection for cattle","01708/4556",0.4375,
"naxcel cattle ml","antirobe capsules 25 mg","42058/4003",0.347826086956522,
"selekt glycerol plus","heptavac p plus","01708/4468",0.4,
"cyclo aero spray 211ml each","terramycin aerosol spray 3.92% w/w cutaneous spray","42058/4150",0.34,
"synulox rtu btl","synulox palatable tablets 50 mg","42058/4147",0.387096774193548,
"draxxin injection bottle","ubac emulsion for injection for cattle","eu/2/18/227/001-004",0.5,

